# Constructed from biom file
#OTU ID	C-AS/90	C-AS/90+50h	C-AS/90+140h	C/0	C/30	C/30+120h	C/90	C/90+50h	C/90+140h	LB+LP/30+120h	LB+LP/90	LB-AS/90+50h	LB-AS/90+140h	LB/30	LB/30+120h	LB/90+140h
No blast hit;Other;Other	0.0	0.0	0.0	4.05018995391e-05	0.000142809539677	3.15616715061e-05	0.0	0.0	0.0	3.00842358604e-05	0.0	0.0	0.0	3.07144173475e-05	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes	4.74003289583e-06	0.0	1.31261157198e-05	0.041036524613	0.00371304803161	0.0	0.00115791575165	0.0	0.0	0.0	0.0	0.0	0.0	0.0148043491615	0.000286458333333	2.46944067169e-05
k__Fungi;p__Ascomycota;c__Eurotiomycetes	0.0	3.82172686466e-05	0.00182453008506	0.0464718795312	0.0	0.826663300088	0.0	3.52622986082e-06	9.16567371868e-05	0.816395908544	0.0196594039569	0.000334700025103	0.0	0.048436636157	0.7730859375	0.0
k__Fungi;p__Ascomycota;c__Incertae_sedis	0.0	0.0	0.0	0.00129606078525	0.0	3.15616715061e-05	0.0	0.0	0.0	0.000782190132371	0.0	0.0	0.0	0.0	0.00247395833333	0.0
k__Fungi;p__Ascomycota;c__Leotiomycetes	0.00116604809237	0.0	0.0	0.000178208357972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.30208333333e-05	0.0
k__Fungi;p__Ascomycota;c__Saccharomycetes	0.449767501386	0.174079658685	0.921260807169	0.0898008116581	0.127052887133	0.00135715187476	0.286324615692	0.029997637426	0.28300267471	0.00123345367028	4.17397111612e-05	0.998465958218	0.94456331453	0.00482216352356	0.00970052083333	0.035238918385
k__Fungi;p__Ascomycota;c__Sordariomycetes	0.000450303125104	0.0	0.0	0.161813189039	0.00290379397344	0.005176114127	0.0	3.52622986082e-06	0.0	0.000180505415162	0.000166958844645	0.0	0.0	0.00230358130106	0.00471354166667	0.0038029386344
k__Fungi;p__Ascomycota;c__unidentified	0.00267337855325	0.000812985533027	0.0145918653086	0.541097277462	0.0273718284381	0.0571266254261	0.00795900712052	0.000264467239561	0.000258305350254	0.0917870036101	0.127890474998	0.0	0.0463333981716	0.0207629461269	0.100989583333	0.0140017286085
k__Fungi;p__Basidiomycota;c__Agaricomycetes	4.74003289583e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.203728730266	0.00208333333333	0.0
k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes	0.0	0.0	0.0	0.000340215956128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes	4.74003289583e-06	0.0	0.0	0.00151477104276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Microbotryomycetes	0.0	3.47429714969e-06	0.0	0.000477922414561	0.0	0.0	0.0	3.52622986082e-06	0.0	0.000330926594465	0.0	0.0	0.0	0.106394741692	0.0	0.0
k__Fungi;p__Basidiomycota;c__Pucciniomycetes	0.0	0.0	0.0	0.000178208357972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Tremellomycetes	0.0	0.0	0.0	0.00148236952313	4.76031798924e-05	0.0	0.0	0.000282098388866	0.0	0.0	0.0	0.0	0.0	0.0	0.00134114583333	0.0
k__Fungi;p__Basidiomycota;c__Ustilaginomycetes	4.74003289583e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__unidentified	0.0	0.0	0.0	0.00750905217455	0.0	0.00151496023229	1.33093764557e-05	0.0	4.16621532667e-06	0.000571600481348	0.0	0.0	0.0	0.00638859880828	0.0	0.0
k__Fungi;p__Glomeromycota;c__Glomeromycetes	0.000227521579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0299296209409
k__Fungi;p__unidentified;c__unidentified	0.545696287132	0.825065664216	0.0623096713221	0.106763007185	0.838768029704	0.108098724908	0.70454515206	0.969445218256	0.716643196987	0.0886883273165	0.852241422489	0.00119934175662	0.00910328729819	0.592327538547	0.1053125	0.917002099025
