# Constructed from biom file
#OTU ID	C/0	C/30	C/112	LB/30	LB/112	LH + LB/30	LH + LB/112	LH/112
No blast hit;Other;Other	4.49158469525e-05	1.23347148214e-05	0.0	0.000126758778045	0.0	2.92141396436e-05	0.00129812563323	0.0
k__Fungi;p__Ascomycota;c__Archaeorhizomycetes	3.20827478232e-05	0.000567396881784	0.00587463203905	0.000302270932262	0.00486791516805	0.0	0.000105538669368	0.000199493593187
k__Fungi;p__Ascomycota;c__Dothideomycetes	0.0331286454022	0.00893033353069	0.00912415735348	0.047866064725	0.0140456405804	0.0121920342779	0.0238306315434	0.00468042660938
k__Fungi;p__Ascomycota;c__Eurotiomycetes	0.00155922154421	0.0014431616341	0.00170759369465	0.00469007478768	0.0136115589731	0.005901256208	0.00233240459304	0.00511010511778
k__Fungi;p__Ascomycota;c__Incertae_sedis	4.49158469525e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Lecanoromycetes	1.28330991293e-05	0.0	0.0	9.75067523426e-06	0.0	0.0	0.00205800405268	0.0
k__Fungi;p__Ascomycota;c__Leotiomycetes	0.000667321154722	0.00367574501678	0.0224918124705	0.00361750051191	0.00551903757906	0.00384652838641	0.0212132725431	0.0370137343666
k__Fungi;p__Ascomycota;c__Orbiliomycetes	0.0	0.0	0.0	5.85040514056e-05	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Pezizomycetes	3.84992973878e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Saccharomycetes	0.0325190731936	0.478081211762	0.106227619691	0.278099008356	0.186345032866	0.296172947707	0.204365079365	0.17322182153
k__Fungi;p__Ascomycota;c__Sordariomycetes	0.601275610053	0.0265073021512	0.0266206211053	0.0317091958618	0.0185724916284	0.0473950725484	0.0214982269504	0.0525128519911
k__Fungi;p__Ascomycota;c__unidentified	0.0335264714752	0.0339698046181	0.0219438532999	0.0499819612508	0.0244946049857	0.0350472295258	0.0269651300236	0.0383794981969
k__Fungi;p__Basidiomycota;c__Agaricomycetes	0.00226504199632	0.015541740675	0.0487173932435	0.0209834531041	0.0885216420687	0.0123381049761	0.0623944613306	0.065265096294
k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes	0.0	0.0	0.0	0.000126758778045	0.0	2.92141396436e-05	0.0	0.0
k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes	0.000513323965171	0.000567396881784	0.0013125533623	0.000838558070146	0.0	0.000340831629175	0.00113981762918	0.0
k__Fungi;p__Basidiomycota;c__Exobasidiomycetes	0.00238695643805	0.000555062166963	0.00309660647611	0.00230115935529	0.0131774773657	0.00240529749732	0.0	0.00251668840635
k__Fungi;p__Basidiomycota;c__Incertae_sedis	4.49158469525e-05	0.0	0.000611675353306	0.000224265530388	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Microbotryomycetes	0.000686570803416	0.0024792776791	0.00133803983536	0.000887311446318	0.000248046632767	0.00182101470445	0.00602625802094	0.00316120616896
k__Fungi;p__Basidiomycota;c__Pucciniomycetes	0.000128330991293	0.00313301756463	0.00354261975457	0.00155035736225	0.0	0.000847210049664	0.0	0.0
k__Fungi;p__Basidiomycota;c__Tremellomycetes	0.00609572208641	0.0293936254194	0.042396747926	0.0393049718693	0.0277812228699	0.0381828805142	0.0157358156028	0.0337757998926
k__Fungi;p__Basidiomycota;c__Ustilaginomycetes	0.011966864938	0.00909068482337	0.00224280962879	0.0184775295689	0.00632518913556	0.0322718862596	0.00711330631543	0.0
k__Fungi;p__Basidiomycota;c__unidentified	0.011466374072	0.0571590684823	0.212506212328	0.062394570824	0.122628054074	0.0502677962801	0.091744765282	0.103337681271
k__Fungi;p__Glomeromycota;c__Glomeromycetes	0.000211746135633	0.00182553779357	0.0	0.0013943465585	0.0	0.001119875353	0.00556188787572	0.00501803115169
k__Fungi;p__Glomeromycota;c__unidentified	0.0	0.0	0.0	0.0	0.0	0.0	0.00107649442756	0.0
k__Fungi;p__Neocallimastigomycota;c__Neocallimastigomycetes	0.0	0.00044404973357	0.00031858091318	0.000156010803748	0.0	0.0	0.0	0.0
k__Fungi;p__Zygomycota;c__Incertae_sedis	2.56661982585e-05	0.000370041444642	0.00598932116779	0.000341273633199	0.0	0.00054533060668	0.00036938534279	0.00219442952505
k__Fungi;p__unidentified;c__unidentified	0.261358896867	0.326253207026	0.483937150357	0.434558343165	0.473862086072	0.459246275197	0.505171394799	0.473613135886
