"sample.id.string" "Chao1" "InvSimpson" "Observed" "se.chao1" "Simpson"
145 2767.58998144712 74.2547846006059 2095 60.3046826147 0.986532854342266
146 2622.21108742004 25.9179291662703 2004 58.6534098586389 0.961416670537807
147 2487.93266832918 15.5578673516806 1780 67.9474936606434 0.93572383814598
148 2764.96359743041 72.9889079814101 2005 68.8309998228128 0.98629928810204
150 494.96875 1.44038877632388 325 37.4218829429481 0.305742993532501
151 526.192307692308 1.64602771974057 317 47.173281106457 0.392476816758828
152 349.857142857143 1.14674105650439 223 32.0697366736338 0.127963549985474
153 625.285714285714 1.58762323202995 397 44.8445278236386 0.370127634929233
155 506.108695652174 1.69317872366439 276 53.0734746783768 0.409394893744121
156 1139.04845814978 6.59780634405279 993 23.9078796166466 0.848434472330127
157 656.2 2.66723669753297 340 65.2004708010425 0.625080143458982
158 465.263157894737 3.6811898923137 297 38.4302548584815 0.728348705377032
160 285.111111111111 1.39490550069655 171 35.3015031647258 0.283105558404748
161 489.358208955224 1.44402049792435 327 35.5975914370448 0.30748905473474
162 331 1.1928450025138 242 24.9992087307052 0.161668114555873
163 367.375 1.2727825823716 247 30.9455505944001 0.214319858041517
165 900.283464566929 2.6882509008847 629 44.3822367574778 0.628010912347914
166 1237.06097560976 2.32336122032467 832 56.5899514525031 0.569589097359447
167 785.25 2.12787064835274 499 50.9749317018813 0.530046621596037
168 755.012345679012 1.87755905138866 463 53.884525032576 0.467393582502564
170 635.441558441558 2.06352924742433 412 44.0780824048775 0.515393347950755
171 621.904761904762 1.95227737925479 383 49.4986550842742 0.487777704835306
172 832.120481927711 2.69749015327816 472 63.4804468553043 0.629285023048282
173 411.733333333333 1.70495121273012 245 41.0147665701444 0.413472953047899
175 625.838709677419 1.80065869432215 366 53.2911497750882 0.444647670792244
176 567.4 1.84236275319842 349 45.5695745852599 0.45721872727618
177 591.161290322581 2.0897635275378 416 34.3994809928571 0.521476958123477
178 487.438596491228 1.41783683428601 294 43.0077098815498 0.294700225147148
